Team,ID,Location,Championships,League,Conference,Founded,Revenue,Colors,Attendance,Ticket,Stadium
Atlanta Hawks,000,"Atlanta, GA",1,NBA,Eastern Conference,1946,326,"Red, Black",17555,204.26,State Farm Arena
Boston Celtics,001,"Boston, MA",17,NBA,Eastern Conference,1949,443,"Green, White",19156,536.69,TD Garden
Brooklyn Nets,002,"Brooklyn, NY",0,NBA,Eastern Conference,1967,367,"Black, White",17669,461.59,Barclays Center
Charlotte Hornets,003,"Charlotte, NC",0,NBA,Eastern Conference,1988,269,"Teal, Purple",17123,158.72,Spectrum Center
Chicago Bulls,004,"Chicago, IL",6,NBA,Eastern Conference,1966,372,"Red, Black",20527,412.0,United Center
Cleveland Cavaliers,005,"Cleveland, OH",1,NBA,Eastern Conference,1970,348,"Wine, Gold",19432,217.05,Rocket Mortgage FieldHouse
Dallas Mavericks,006,"Dallas, TX",1,NBA,Western Conference,1980,429,"Navy Blue, Silver",20177,269.41,American Airlines Center
Denver Nuggets,007,"Denver, CO",1,NBA,Western Conference,1967,348,"Navy, Gold",19235,247.85,Ball Arena
Detroit Pistons,008,"Detroit, MI",3,NBA,Eastern Conference,1948,274,"Royal Blue, Red",18529,189.54,Little Caesars Arena
Golden State Warriors,009,"San Francisco, CA",7,NBA,Western Conference,1946,765,"Royal Blue, Gold",18064,608.39,Chase Center
Houston Rockets,010,"Houston, TX",2,NBA,Western Conference,1967,381,"Red, Silver",16313,190.22,Toyota Center
Indiana Pacers,011,"Indianapolis, IN",0,NBA,Eastern Conference,1967,263,"Navy Blue, Gold",15647,163.45,Gainbridge Fieldhouse
LA Clippers,012,"Los Angeles, CA",0,NBA,Western Conference,1970,425,"Red, Blue",17574,295.89,Crypto.com Arena
Los Angeles Lakers,013,"Los Angeles, CA",18,NBA,Western Conference,1947,516,"Purple, Gold",18613,506.05,Crypto.com Arena
Memphis Grizzlies,014,"Memphis, TN",0,NBA,Western Conference,1995,258,"Navy Blue, Light Blue",17264,264.11,FedExForum
Miami Heat,015,"Miami, FL",3,NBA,Eastern Conference,1988,371,"Red, Black",19687,319.09,Kaseya Center
Milwaukee Bucks,016,"Milwaukee, WI",2,NBA,Eastern Conference,1968,329,"Green, Cream",17531,355.9,Fiserv Forum
Minnesota Timberwolves,017,"Minneapolis, MN",0,NBA,Western Conference,1989,259,"Navy Blue, Green",16768,336.84,Target Center
New Orleans Pelicans,018,"New Orleans, LA",0,NBA,Western Conference,2002,262,"Navy, Gold",16772,195.78,Smoothie King Center
New York Knicks,019,"New York, NY",2,NBA,Eastern Conference,1946,504,"Blue, Orange",19392,745.18,Madison Square Garden
Oklahoma City Thunder,020,"Oklahoma City, OK",1,NBA,Western Conference,1967,267,"Blue, Orange",15534,188.38,Paycom Center
Orlando Magic,021,"Orlando, FL",0,NBA,Eastern Conference,1989,261,"Blue, Black",17765,235.3,Kia Center
Philadelphia 76ers,022,"Philadelphia, PA",3,NBA,Eastern Conference,1946,371,"Blue, Red",20469,291.96,Wells Fargo Center
Phoenix Suns,023,"Phoenix, AZ",0,NBA,Western Conference,1968,366,"Purple, Orange",17071,343.22,Footprint Center
Portland Trail Blazers,024,"Portland, OR",1,NBA,Western Conference,1970,300,"Black, Red",18716,191.52,Moda Center
Sacramento Kings,025,"Sacramento, CA",0,NBA,Western Conference,1948,289,"Purple, Silver",17451,240.32,Golden 1 Center
San Antonio Spurs,026,"San Antonio, TX",5,NBA,Western Conference,1967,319,"Black, Silver",16937,208.5,Frost Bank Center
Toronto Raptors,027,"Toronto, ON",1,NBA,Eastern Conference,1995,305,"Red, Black",19786,361.59,Scotiabank Arena
Utah Jazz,028,"Salt Lake City, UT",0,NBA,Western Conference,1974,274,"Navy Blue, Green",18206,177.75,Delta Center
Washington Wizards,029,"Washington, DC",1,NBA,Eastern Conference,1961,323,"Navy, Red",17328,222.82,Capital One Arena
Arizona Cardinals,030,"Glendale, AZ",0,NFL,NFC,1898,500,"Cardinal Red, Black",62864,98.54,State Farm Stadium
Atlanta Falcons,031,"Atlanta, GA",0,NFL,NFC,1965,544,"Black, Red",69603,111.54,Mercedes-Benz Stadium
Baltimore Ravens,032,"Baltimore, MD",2,NFL,AFC,1996,544,"Purple, Black",70597,120.27,M&T Bank Stadium
Buffalo Bills,033,"Orchard Park, NY",0,NFL,AFC,1959,503,"Royal Blue, Red",69609,101.64,Highmark Stadium
Carolina Panthers,034,"Charlotte, NC",0,NFL,NFC,1993,530,"Black, Blue",71635,115.45,Bank of America Stadium
Chicago Bears,035,"Chicago, IL",1,NFL,NFC,1920,556,"Navy Blue, Orange",61769,130.29,Soldier Field
Cincinnati Bengals,036,"Cincinnati, OH",0,NFL,AFC,1968,498,"Black, Orange",66040,101.78,Paycor Stadium
Cleveland Browns,037,"Cleveland, OH",0,NFL,AFC,1944,545,"Brown, Orange",67810,122.18,Cleveland Browns Stadium
Dallas Cowboys,038,"Arlington, TX",5,NFL,NFC,1960,1140,"Navy Blue, Silver",93594,116.69,AT&T Stadium
Denver Broncos,039,"Denver, CO",3,NFL,AFC,1959,563,"Orange, Navy Blue",76388,131.91,Empower Field at Mile High
Detroit Lions,040,"Detroit, MI",0,NFL,NFC,1930,495,"Honolulu Blue, Silver",64850,107.31,Ford Field
Green Bay Packers,041,"Green Bay, WI",4,NFL,NFC,1919,577,"Green, Gold",77829,141.48,Lambeau Field
Houston Texans,042,"Houston, TX",0,NFL,AFC,1999,605,"Deep Steel Blue, Battle Red",71193,117.45,NRG Stadium
Indianapolis Colts,043,"Indianapolis, IN",2,NFL,AFC,1953,545,"Royal Blue, White",65230,107.0,Lucas Oil Stadium
Jacksonville Jaguars,044,"Jacksonville, FL",0,NFL,AFC,1993,517,"Teal, Black",69031,102.22,TIAA Bank Field
Kansas City Chiefs,045,"Kansas City, MO",4,NFL,AFC,1959,540,"Red, Gold",70968,131.81,GEHA Field at Arrowhead Stadium
Las Vegas Raiders,046,"Las Vegas, NV",3,NFL,AFC,1960,729,"Silver, Black",62190,168.83,Allegiant Stadium
Los Angeles Chargers,047,"Inglewood, CA",0,NFL,AFC,1959,518,"Powder Blue, Gold",73150,106.23,SoFi Stadium
Los Angeles Rams,048,"Inglewood, CA",2,NFL,NFC,1936,686,"Royal Blue, Yellow",69736,103.9,SoFi Stadium
Miami Dolphins,049,"Miami Gardens, FL",2,NFL,AFC,1965,600,"Aqua, Orange",65922,104.45,Hard Rock Stadium
Minnesota Vikings,050,"Minneapolis, MN",0,NFL,NFC,1960,540,"Purple, Gold",66913,123.37,U.S. Bank Stadium
New England Patriots,051,"Foxborough, MA",6,NFL,AFC,1959,684,"Navy Blue, Red",63018,142.74,Gillette Stadium
New Orleans Saints,052,"New Orleans, LA",1,NFL,NFC,1966,533,"Black, Gold",70020,111.97,Caesars Superdome
New York Giants,053,"East Rutherford, NJ",4,NFL,NFC,1925,639,"Royal Blue, Red",79307,126.74,MetLife Stadium
New York Jets,054,"East Rutherford, NJ",1,NFL,AFC,1959,560,"Hunter Green, White",77890,112.56,MetLife Stadium
Philadelphia Eagles,055,"Philadelphia, PA",1,NFL,NFC,1933,598,"Midnight Green, Silver",69878,139.01,Lincoln Financial Field
Pittsburgh Steelers,056,"Pittsburgh, PA",6,NFL,AFC,1933,548,"Black, Gold",66977,127.04,Acrisure Stadium
San Francisco 49ers,057,"Santa Clara, CA",5,NFL,NFC,1944,622,"Red, Gold",71655,161.33,Levi's Stadium
Seattle Seahawks,058,"Seattle, WA",1,NFL,NFC,1974,555,"Navy Blue, Neon Green",68735,127.71,Lumen Field
Tampa Bay Buccaneers,059,"Tampa, FL",2,NFL,NFC,1974,531,"Red, Pewter",63756,124.43,Raymond James Stadium
Tennessee Titans,060,"Nashville, TN",0,NFL,AFC,1959,516,"Navy, Light Blue",64520,107.37,Nissan Stadium
Washington Commanders,061,"Landover, MD",3,NFL,NFC,1932,545,"Burgundy, Gold",63950,124.8,Commanders Field
Arizona Diamondbacks,062,"Phoenix, AZ",1,MLB,National League,1998,276,"Sedona Red, Black",24212,90.0,Chase Field
Atlanta Braves,063,"Atlanta, GA",4,MLB,National League,1876,425,"Navy, Red",39401,117.0,Truist Park
Baltimore Orioles,064,"Baltimore, MD",3,MLB,American League,1901,264,"Black, Orange",23911,123.0,Oriole Park at Camden Yards
Boston Red Sox,065,"Boston, MA",9,MLB,American League,1901,513,"Red, Navy Blue",32989,170.0,Fenway Park
Chicago White Sox,066,"Chicago, IL",3,MLB,American League,1901,276,"Black, Silver",20613,113.0,Guaranteed Rate Field
Chicago Cubs,067,"Chicago, IL",3,MLB,National League,1876,451,"Blue, Red",34261,141.0,Wrigley Field
Cincinnati Reds,068,"Cincinnati, OH",5,MLB,National League,1882,250,"Red, White",25164,90.0,Great American Ball Park
Cleveland Guardians,069,"Cleveland, OH",2,MLB,American League,1901,268,"Navy Blue, Red",22643,95.0,Progressive Field
Colorado Rockies,070,"Denver, CO",0,MLB,National League,1993,286,"Purple, Black",32197,85.0,Coors Field
Detroit Tigers,071,"Detroit, MI",4,MLB,American League,1901,260,"Navy Blue, White",19912,87.0,Comerica Park
Houston Astros,072,"Houston, TX",2,MLB,American League,1962,407,"Navy Blue, Orange",37683,131.0,Minute Maid Park
Kansas City Royals,073,"Kansas City, MO",2,MLB,American League,1969,260,"Royal Blue, White",16136,86.0,Kauffman Stadium
Los Angeles Angels,074,"Anaheim, CA",1,MLB,American League,1961,371,"Red, Navy Blue",32600,79.0,Angel Stadium
Los Angeles Dodgers,075,"Los Angeles, CA",7,MLB,National League,1883,581,"Dodger Blue, White",47371,209.0,Dodger Stadium
Miami Marlins,076,"Miami, FL",2,MLB,National League,1993,238,"Black, Blue",14356,69.0,loanDepot park
Milwaukee Brewers,077,"Milwaukee, WI",0,MLB,National League,1969,294,"Navy Blue, Yellow",31498,97.0,American Family Field
Minnesota Twins,078,"Minneapolis, MN",3,MLB,American League,1901,267,"Navy Blue, Red",24372,72.0,Target Field
New York Yankees,079,"Bronx, NY",27,MLB,American League,1903,657,"Navy Blue, Gray",40358,186.0,Yankee Stadium
New York Mets,080,"Flushing, Queens, NY",2,MLB,National League,1962,374,"Royal Blue, Orange",31772,100.0,Citi Field
Oakland Athletics,081,"Oakland, CA",9,MLB,American League,1901,212,"Green, Gold",10276,100.0,Oakland Coliseum
Philadelphia Phillies,082,"Philadelphia, PA",2,MLB,National League,1883,398,"Red, Blue",37686,119.0,Citizens Bank Park
Pittsburgh Pirates,083,"Pittsburgh, PA",5,MLB,National League,1882,262,"Black, Gold",20131,89.0,PNC Park
San Diego Padres,084,"San Diego, CA",0,MLB,National League,1969,324,"Brown, Gold",40390,140.0,PETCO Park
San Francisco Giants,085,"San Francisco, CA",8,MLB,National League,1883,421,"Black, Orange",30866,144.0,Oracle Park
Seattle Mariners,086,"Seattle, WA",0,MLB,American League,1977,363,"Navy Blue, Northwest Green",33215,95.0,T-Mobile Park
St Louis Cardinals,087,"St. Louis, MO",11,MLB,National League,1882,358,"Red, Navy Blue",40013,140.0,Busch Stadium
Tampa Bay Rays,088,"St. Petersburg, FL",0,MLB,American League,1998,248,"Navy Blue, Light Blue",17781,106.0,Tropicana Field
Texas Rangers,089,"Arlington, TX",1,MLB,American League,1961,366,"Royal Blue, Red",31272,131.0,Globe Life Field
Toronto Blue Jays,090,"Toronto, ON",2,MLB,American League,1977,294,"Royal Blue, Navy Blue",37307,110.0,Rogers Centre
Washington Nationals,091,"Washington, DC",1,MLB,National League,1969,356,"Red, Navy Blue",23035,107.0,Nationals Park
Atlanta United FC,092,Atlanta,1,MLS, Eastern Conference,2014,81,"Black, Red",47526,143.0,Mercedes-Benz Stadium
Austin FC,093,Austin,0,MLS, Western Conference,2018,84,"Green, Black",20738,265.0,Q2 Stadium
CF Montreal,094,Montreal,0,MLS, Eastern Conference,2010,30,"Blue, Black",17552,82.0,Saputo Stadium
Charlotte FC,095,"Charlotte, NC",0,MLS, Eastern Conference,2019,69,"Blue, White",36337,155.0,Bank of America Stadium
Chicago Fire,096,Chicago,1,MLS, Eastern Conference,1997,25,"Red, Blue",18170,86.0,Soldier Field
FC Cincinnati,097,Cincinnati,0,MLS, Eastern Conference,2018,56,"Blue, Orange",25367,96.0,TQL Stadium
Colorado Rapids,098,Commerce City,1,MLS, Western Conference,1995,33,"Burgundy, Sky Blue",15409,88.0,Dick's Sporting Goods Park
Columbus Crew,099,Columbus,3,MLS, Eastern Conference,1994,55,"Black, Gold",20314,125.0,Lower.com Field
DC United,100,"Washington, D.C.",4,MLS, Eastern Conference,1994,70,"Black, Red",17540,135.0,Audi Field
FC Dallas,101,Frisco,0,MLS, Western Conference,1995,40,"Red, Blue",18239,130.0,Toyota Stadium
Houston Dynamo,102,Houston,2,MLS, Western Conference,2005,39,"Orange, Black",15029,87.0,Shell Energy Stadium
Inter Miami CF,103,Fort Lauderdale,0,MLS, Eastern Conference,2018,56,"Pink, Black",17440,152.0,Chase Stadium
Los Angeles Galaxy,104,Carson,5,MLS, Western Conference,1994,98,"White, Blue",24106,137.0,Dignity Health Sports Park
Los Angeles FC,105,Los Angeles,1,MLS, Western Conference,2014,116,"Black, Gold",22155,245.0,BMO Stadium
Minnesota United FC,106,Saint Paul,0,MLS, Western Conference,2015,54,"Gray, Blue",19568,96.0,Allianz Field
Nashville SC,107,Nashville,0,MLS, Eastern Conference,2017,46,"Gold, Navy",28257,108.0,Geodis Park
New England Revolution,108,Foxborough,0,MLS, Eastern Conference,1995,37,"Navy Blue, Red",23940,93.0,Gillette Stadium
New York City FC,109,Bronx,1,MLS, Eastern Conference,2013,55,"Sky Blue, Navy Blue",20251,164.0,Yankee Stadium
New York Red Bulls,110,Harrison,0,MLS, Eastern Conference,1994,50,"Red, White",18246,235.0,Red Bull Arena
Orlando City SC,111,Orlando,0,MLS, Eastern Conference,2010,42,"Purple, Gold",20590,126.0,Inter&Co Stadium
Philadelphia Union,112,Chester,0,MLS, Eastern Conference,2008,54,"Navy Blue, Gold",18926,105.0,Subaru Park
Portland Timbers,113,Portland,1,MLS, Western Conference,2009,65,"Green, Gold",23103,165.0,Providence Park
Real Salt Lake,114,Sandy,2,MLS, Western Conference,2004,43,"Claret Red, Cobalt Blue",19429,68.0,America First Field
San Jose Earthquakes,115,San Jose,2,MLS, Western Conference,1994,43,"Blue, Black",18412,132.0,PayPal Park
Seattle Sounders,116,Seattle,2,MLS, Western Conference,1994,66,"Green, Blue",32161,116.0,Lumen Field
Sporting Kansas City,117,Kansas City,2,MLS, Western Conference,1995,59,"Blue, Dark Indigo",18616,127.0,Children's Mercy Park
Toronto FC,118,Toronto,1,MLS, Eastern Conference,2005,62,"Red, Gray",25310,134.0,BMO Field
Vancouver Whitecaps FC,119,Vancouver,0,MLS, Western Conference,2009,21,"White, Blue",16745,109.0,BC Place
Anaheim Ducks,120,"Anaheim, CA",1,NHL,Western Conference,1993,164,"Black, Gold",15649,61.04,Honda Center
Arizona Coyotes,121,"Tempe, AZ",0,NHL,Western Conference,1972,120,"Brick Red, Desert Sand",4600,49.87,Mullett Arena
Boston Bruins,122,"Boston, MA",6,NHL,Eastern Conference,1924,239,"Black, Gold",17850,102.51,TD Garden
Buffalo Sabres,123,"Buffalo, NY",0,NHL,Eastern Conference,1970,159,"Navy Blue, Gold",15994,55.22,KeyBank Center
Calgary Flames,124,"Calgary, AB",1,NHL,Western Conference,1972,183,"Red, Yellow",17497,56.66,Scotiabank Saddledome
Carolina Hurricanes,125,"Raleigh, NC",1,NHL,Eastern Conference,1972,177,"Red, Black",18798,57.32,PNC Arena
Chicago Blackhawks,126,"Chicago, IL",6,NHL,Western Conference,1926,228,"Red, Black",18822,109.23,United Center
Colorado Avalanche,127,"Denver, CO",3,NHL,Western Conference,1972,182,"Burgundy, Blue",18101,55.05,Ball Arena
Columbus Blue Jackets,128,"Columbus, OH",0,NHL,Eastern Conference,2000,151,"Navy Blue, Red",17009,57.02,Nationwide Arena
Dallas Stars,129,"Dallas, TX",1,NHL,Western Conference,1967,210,"Green, Silver",18532,59.95,American Airlines Center
Detroit Red Wings,130,"Detroit, MI",11,NHL,Eastern Conference,1926,199,"Red, White",18966,90.43,Little Caesars Arena
Edmonton Oilers,131,"Edmonton, AB",5,NHL,Western Conference,1971,281,"Orange, Navy Blue",19262,79.17,Rogers Place
Florida Panthers,132,"Sunrise, FL",0,NHL,Eastern Conference,1993,161,"Red, Navy Blue",18627,37.19,Amerant Bank Arena
Los Angeles Kings,133,"Los Angeles, CA",2,NHL,Western Conference,1967,279,"Black, Silver",17958,83.53,Crypto.com Arena
Minnesota Wild,134,"St. Paul, MN",0,NHL,Western Conference,2000,185,"Green, Red",18511,83.06,Xcel Energy Center
Montreal Canadiens,135,"Montreal, QC",24,NHL,Eastern Conference,1909,265,"Red, Blue",21099,90.37,Bell Centre
Nashville Predators,136,"Nashville, TN",0,NHL,Western Conference,1997,180,"Gold, Navy",17307,78.4,Bridgestone Arena
New Jersey Devils,137,"Newark, NJ",3,NHL,Eastern Conference,1974,240,"Red, Black",17625,62.52,Prudential Center
New York Islanders,138,"Belmont Park, NY",4,NHL,Eastern Conference,1972,183,"Blue, Orange",18142,59.89,UBS Arena
New York Rangers,139,"New York, NY",4,NHL,Eastern Conference,1926,265,"Blue, Red",17981,120.93,Madison Square Garden
Ottawa Senators,140,"Ottawa, ON",0,NHL,Eastern Conference,1992,128,"Red, Black",17536,59.21,Canadian Tire Centre
Philadelphia Flyers,141,"Philadelphia, PA",2,NHL,Eastern Conference,1967,219,"Orange, Black",18382,85.99,Wells Fargo Center
Pittsburgh Penguins,142,"Pittsburgh, PA",5,NHL,Eastern Conference,1967,207,"Black, Gold",17878,85.99,PPG Paints Arena
San Jose Sharks,143,"San Jose, CA",0,NHL,Western Conference,1991,158,"Teal, Black",13462,64.1,SAP Center at San Jose
Seattle Kraken,144,"Seattle, WA",0,NHL,Western Conference,2021,197,"Deep Sea Blue, Ice Blue",17905,155.0,Climate Pledge Arena
St Louis Blues,145,"St. Louis, MO",1,NHL,Western Conference,1967,184,"Blue, Yellow",18084,62.38,Enterprise Center
Tampa Bay Lightning,146,"Tampa, FL",3,NHL,Eastern Conference,1992,196,"Blue, White",19092,64.39,Amalie Arena
Toronto Maple Leafs,147,"Toronto, ON",13,NHL,Eastern Conference,1917,281,"Blue, White",18785,128.69,Scotiabank Arena
Vancouver Canucks,148,"Vancouver, BC",0,NHL,Western Conference,1945,198,"Blue, Green",18823,81.73,Rogers Arena
Vegas Golden Knights,149,"Las Vegas, NV",1,NHL,Western Conference,2017,233,"Gold, Black",18127,104.36,T-Mobile Arena
Washington Capitals,150,"Washington, DC",1,NHL,Eastern Conference,1974,218,"Red, Blue",17804,94.56,Capital One Arena
Winnipeg Jets,151,"Winnipeg, MB",0,NHL,Western Conference,1997,162,"Navy Blue, Silver",13401,71.32,Canada Life Centre
St Louis City SC,152,"St. Louis, MO",0,MLS,Western Conference,2019,150,"Red, Navy Blue",22423,145.0,City Park
